,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
6249,la terre outragée,2012-03-28,Drame,1h 48min,Michale Boganim,Michale Boganim,"Olga Kurylenko, Andrzej Chyra, Serguei Strelnikov",France,Le Pacte,Box Office France,16051,"3,7","3,7",546220.0,5000000
6250,corpo celeste,2011-12-28,Drame,1h 40min,Alice Rohrwacher,Alice Rohrwacher,"Yle Vianello, Salvatore Cantalupo, Pasqualina Scuncia",France,Ad Vitam,Box Office France,4816,"3,2","2,9",65052.0,0
6251,afrik'aïoli,2014-01-22,Comédie,1h 35min,Christian Philibert,"Christian Philibert, Jacques Dussart","Jean-Marc Ravera, Mohamed Metina, Modou Cisse",France,ADR Distribution,Box Office France,12528,"2,9","3,2",320952.0,0
6252,nino une adolescence imaginaire de nino ferrer,2012-04-25,"Comédie dramatique, Romance",1h 15min,Thomas Bardinet,Thomas Bardinet,"David Prat, Lou de Laâge, Sarah Coulaud",France,NiZ !,Box Office France,844,"3,3","2,4",115451.0,0
6253,hollywood ending,2002-05-15,"Comédie, Romance",1h 50min,Woody Allen,Woody Allen,"Woody Allen, Debra Messing, Tiffani Thiessen",U.S.A.,Bac Films,Box Office France,260804,"3,8","3,4",12470.0,16000000
6254,el artista y la modelo,2013-03-13,Drame,1h 45min,Fernando Trueba,"Fernando Trueba, Jean-Claude Carrière","Jean Rochefort, Aida Folch, Claudia Cardinale",Espagne,Bac Films,Box Office France,2406,"3,4","3,5",443973.0,0
6255,ping pong summer,2014-07-16,Comédie,1h 32min,Michael Tully,Michael Tully,"Marcello Conte, Lea Thompson, John Hannah",U.S.A.,Potemkine Films,Box Office France,3200,"3,0","3,1",27696.0,0
6256,"ensemble, nous allons vivre une très, très grande histoire d'amour...",2010-04-07,Comédie,1h 39min,Pascal Thomas,"Clémence De Biéville, François Caviglioli","Julien Doré, Marina Hands, Guillaume Gallienne",France,Rezo Films,Box Office France,64195,"3,0","1,6",351910.0,0
6257,skoonheid,2011-10-12,Drame,1h 39min,Oliver Hermanus,"Oliver Hermanus, Didier Costet","Deon Lotz, Charlie Keegan, Michelle Scott",France,Equation,Box Office France,7231,"2,6","2,1",129788.0,0
6258,le bel été,2019-11-13,Drame,1h 21min,Pierre Creton,Pierre Creton,"Gaston Ouedraogo, Sophie Lebel, Yves Edouard",France,JHR Films,Box Office France,2174,"3,3","1,7",13460.0,0
