Week Number,Start Date,End Date,Bordeaux,Lille,Lyon,Paris,Moyenne
21,2013-05-22,2013-05-28,13.09,10.25,10.23,11.06,13.13
21,2014-05-21,2014-05-27,15.79,14.49,15.4,13.5,16.04
21,2015-05-20,2015-05-26,13.78,12.94,16.08,11.85,15.13
21,2016-05-25,2016-05-31,18.31,16.45,14.84,16.61,17.44
21,2017-05-24,2017-05-30,24.66,20.83,22.51,22.05,22.21
21,2018-05-23,2018-05-29,18.52,21.11,20.73,20.96,20.46
21,2019-05-22,2019-05-28,15.82,14.19,17.22,16.37,16.92
21,2020-05-20,2020-05-26,19.99,16.85,20.06,17.77,19.13
21,2021-05-26,2021-06-01,21.93,14.39,19.46,18.28,19.01
21,2022-05-25,2022-05-31,21.53,13.68,17.98,15.86,18.01
21,2023-05-24,2023-05-30,21.01,14.93,18.26,16.28,18.3
22,2010-06-02,2010-06-08,20.42,19.45,19.18,19.92,20.19
22,2011-06-01,2011-06-07,19.38,16.86,18.46,16.41,18.62
22,2012-05-30,2012-06-05,22.51,13.97,18.39,17.32,18.84
22,2013-05-29,2013-06-04,13.83,11.71,11.97,13.55,14.61
22,2014-05-28,2014-06-03,15.74,14.06,16.81,14.25,16.57
22,2015-05-27,2015-06-02,17.88,12.42,18.5,14.66,17.09
22,2016-06-01,2016-06-07,20.79,16.24,17.71,14.6,18.27
22,2017-05-31,2017-06-06,17.34,16.5,19.06,18.78,18.74
22,2018-05-30,2018-06-05,18.32,17.29,18.93,18.45,19.0
22,2019-05-29,2019-06-04,20.84,19.24,20.2,21.71,20.8
22,2020-05-27,2020-06-02,22.06,17.12,20.63,20.23,20.41
22,2021-06-02,2021-06-08,19.85,18.13,19.49,18.29,19.55
22,2022-06-01,2022-06-07,20.5,16.04,20.39,18.87,19.56
22,2023-05-31,2023-06-06,22.32,16.62,19.9,20.05,20.18
23,2010-06-09,2010-06-15,16.63,15.38,20.38,17.98,18.67
23,2011-06-08,2011-06-14,15.86,14.15,18.73,16.06,17.56
23,2012-06-06,2012-06-12,17.93,14.91,16.67,14.64,17.43
23,2013-06-05,2013-06-11,18.15,14.06,20.57,17.9,18.74
23,2014-06-04,2014-06-10,20.04,18.65,24.4,19.51,21.12
23,2015-06-03,2015-06-09,22.17,14.2,25.21,19.78,20.87
23,2016-06-08,2016-06-14,18.46,16.52,18.08,17.61,18.73
23,2017-06-07,2017-06-13,19.39,17.98,23.71,20.99,21.01
23,2018-06-06,2018-06-12,19.51,18.2,22.88,19.73,20.66
23,2019-06-05,2019-06-11,16.48,13.99,15.76,14.45,16.74
23,2020-06-03,2020-06-09,15.22,13.81,14.84,16.28,16.63
23,2021-06-09,2021-06-15,25.29,18.86,25.32,22.07,22.91
23,2022-06-08,2022-06-14,22.21,17.8,18.43,20.41,20.37
23,2023-06-07,2023-06-13,21.05,23.93,21.23,22.24,22.29
24,2010-06-16,2010-06-22,14.84,14.09,15.24,14.51,16.54
24,2011-06-15,2011-06-21,16.44,16.68,18.58,16.48,18.44
24,2012-06-13,2012-06-19,18.08,15.86,20.84,13.04,18.36
24,2013-06-12,2013-06-18,17.83,17.56,22.34,16.72,19.69
24,2014-06-11,2014-06-17,23.69,16.93,22.25,17.93,20.96
24,2015-06-10,2015-06-16,17.08,18.5,19.92,19.22,19.74
24,2016-06-15,2016-06-21,16.68,15.18,16.4,16.47,17.75
24,2017-06-14,2017-06-20,25.25,22.16,23.82,23.86,23.82
24,2018-06-13,2018-06-19,18.7,16.13,18.34,17.38,18.91
24,2019-06-12,2019-06-18,17.31,16.27,18.67,18.69,18.99
24,2020-06-10,2020-06-16,14.69,18.1,18.23,16.24,18.25
24,2021-06-16,2021-06-22,21.26,17.69,23.35,21.63,21.59
24,2022-06-15,2022-06-21,25.47,18.64,28.01,21.64,23.55
24,2023-06-14,2023-06-20,21.09,23.34,22.09,20.44,22.19
25,2010-06-23,2010-06-29,21.87,20.16,19.81,21.73,21.71
25,2011-06-22,2011-06-28,25.29,20.99,21.41,18.33,22.2
25,2012-06-20,2012-06-26,21.11,17.11,22.56,16.23,20.4
25,2013-06-19,2013-06-25,15.31,15.28,20.79,16.52,18.58
25,2014-06-18,2014-06-24,24.39,15.66,21.98,19.35,21.28
25,2015-06-17,2015-06-23,21.0,14.07,19.11,18.2,19.48
25,2016-06-22,2016-06-28,20.45,18.94,23.65,18.68,21.34
25,2017-06-21,2017-06-27,23.09,18.57,26.55,22.26,23.09
25,2018-06-20,2018-06-26,24.33,17.41,20.91,17.36,21.0
25,2019-06-19,2019-06-25,21.33,19.62,22.55,19.96,21.69
25,2020-06-17,2020-06-23,18.59,19.45,18.26,18.96,20.05
25,2021-06-23,2021-06-29,17.77,16.53,21.93,18.42,19.93
25,2022-06-22,2022-06-28,18.54,17.73,20.51,19.48,20.25
25,2023-06-21,2023-06-27,22.19,22.09,22.08,21.01,22.47
26,2010-06-30,2010-07-06,22.75,19.93,26.99,23.84,23.9
26,2011-06-29,2011-07-05,21.34,17.59,19.88,17.89,20.54
26,2012-06-27,2012-07-03,21.47,17.32,22.37,19.07,21.25
26,2013-06-26,2013-07-02,18.67,13.53,19.69,15.6,18.7
26,2014-06-25,2014-07-01,18.53,15.85,20.73,17.18,19.66
26,2015-06-24,2015-06-30,22.23,20.08,21.13,22.52,22.39
26,2016-06-29,2016-07-05,19.65,17.3,21.29,17.83,20.41
26,2017-06-28,2017-07-04,18.07,17.88,17.31,18.83,19.62
26,2018-06-27,2018-07-03,23.35,22.51,24.27,22.78,23.78
26,2019-06-26,2019-07-02,25.31,19.41,28.82,23.28,24.56
26,2020-06-24,2020-06-30,21.96,20.38,24.02,20.71,22.61
26,2021-06-30,2021-07-06,21.46,16.25,21.11,18.64,20.69
26,2022-06-29,2022-07-05,18.44,19.26,22.0,21.37,21.41
26,2023-06-28,2023-07-04,21.61,17.9,20.88,20.43,21.36
