title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_date,box_office_first_week,box_office_second_week,press_eval,viewers_eval,views
Interstellar,5 novembre 2014,"Science fiction, Drame",2h 49min,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Matthew McConaughey, Anne Hathaway, Michael Caine",None,U.S.A.,Warner Bros. France,Box Office France,"['05 au 12 novembre 2014', '12 au 19 novembre 2014']",1 071 360,572 034,"3,8","4,5",2357047
Mascarade,1 novembre 2022,Comédie dramatique,2h 14min,Nicolas Bedos,Nicolas Bedos,"Pierre Niney, Isabelle Adjani, François Cluzet",None,France,Pathé,Box Office France,"['26 octobre au 2 novembre 2022', '02 au 9 novembre 2022']",91 498,295 895,"2,5","3,6",175856
Terrible Jungle,29 juillet 2020,"Aventure, Comédie",1h 31min,Hugo Benamozig,"David Caviglioli, Hugo Benamozig, David Caviglioli","Catherine Deneuve, Vincent Dedienne, Alice Belaïdi",None,France,Apollo Films,Box Office France,"['29 juillet au 5 août 2020', '05 au 12 août 2020']",83 427,43 860,"3,7","2,0",149962
The Super Mario Bros. Movie,5 avril 2023,"Animation, Famille, Comédie",1h 32min,Aaron Horvath,"Michael Jelenic, Matthew Fogel","Pierre Tessier, Chris Pratt, Jérémie Covillault",None,U.S.A.,Universal Pictures International France,Box Office France,"['05 au 12 avril 2023', '12 au 19 avril 2023']",1 866 914,1 536 566,"3,1","4,1",388285
L'Amour et les Forêts,24 mai 2023,"Thriller, Drame",1h 45min,Valérie Donzelli,"Valérie Donzelli, Audrey Diwan","Virginie Efira, Melvil Poupaud, Dominique Reymond","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Diaphana Distribution,Box Office France,"['24 au 31 mai 2023', '31 mai au 7 juin 2023']",220 327,139 160,"3,8","3,9",187122
Ant-Man and The Wasp: Quantumania,15 février 2023,"Action, Aventure, Science fiction",2h 01min,Peyton Reed,Jeff Loveness,"Paul Rudd, Evangeline Lilly, Michael Douglas",None,U.S.A.,The Walt Disney Company France,Box Office France,"['15 au 22 février 2023', '22 février au 1 mars 2023']",735 356,437 550,"2,3","2,5",281409
Sage-Homme,15 mars 2023,Comédie dramatique,1h 40min,Jennifer Devoldere,"Jennifer Devoldere, Cécile Sellam","Karin Viard, Melvin Boomer, Steve Tientcheu",None,France,Warner Bros. France,Box Office France,"['15 au 22 mars 2023', '22 au 29 mars 2023']",279 606,130 618,"3,6","4,0",97261
38°5 quai des orfèvres,21 juin 2023,"Comédie, Policier",1h 24min,Benjamin Lehrer,Benjamin Lehrer,"Didier Bourdon, Caroline Anglade, Yann Papin",None,France,KMBO,Box Office France,"['21 au 28 juin 2023', '28 juin au 5 juillet 2023']",45 576,25 679,"2,3","1,6",165837
Apaches,29 mars 2023,"Drame, Historique, Policier",1h 35min,Romain Quirot,Romain Quirot,"Alice Isaaz, Niels Schneider, Rod Paradot","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Belgique,Tandem,Box Office France,"['29 mars au 5 avril 2023', '05 au 12 avril 2023']",33 659,10 567,"2,8","2,9",118594
Fumer fait tousser,30 novembre 2022,Comédie,1h 20min,Quentin Dupieux,Quentin Dupieux,"Gilles Lellouche, Vincent Lacoste, Anaïs Demoustier","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Gaumont Distribution,Box Office France,"['30 novembre au 7 décembre 2022', '07 au 14 décembre 2022']",87 446,40 915,"3,2","2,7",160072
Spider-Man: Across The Spider-Verse,31 mai 2023,"Animation, Action, Fantastique, Aventure",2h 21min,Joaquim Dos Santos,"Kemp Powers, Justin Thompson, Phil Lord, Christopher Miller","Stéphane Bak, Shameik Moore, Shirine Boutella",à partir de 8 ans (children's film),U.S.A.,Sony Pictures Releasing France,Box Office France,"['31 mai au 7 juin 2023', '07 au 14 juin 2023']",550 808,390 802,"4,1","4,5",320062
Joy Ride,5 juillet 2023,Comédie,1h 32min,Adele Lim,"Cherry Chevapravatdumrong, Teresa Hsiao","Stephanie Hsu, Ashley Park, Sherry Cola",None,U.S.A.,Metropolitan FilmExport,Box Office France,"['05 au 12 juillet 2023', '12 au 19 juillet 2023']",9 258,772,"2,9",--,5034
Maestro(s),7 décembre 2022,Drame,1h 27min,Bruno Chiche,"Bruno Chiche, Yaël Langmann","Yvan Attal, Pierre Arditi,  Miou-Miou",None,France,Apollo Films / Orange Studio,Box Office France,"['07 au 14 décembre 2022', '14 au 21 décembre 2022']",111 837,64 856,"3,0","3,1",41027
A Beautiful Day in the Neighborhood,None,"Biopic, Drame",1h 49min,Marielle Heller,"Micah Fitzerman-Blue, Noah Harpster","Tom Hanks, Matthew Rhys, Susan Kelechi Watson",None,U.S.A.,Sony Pictures Releasing France,Box Office US,"['22 au 25 novembre 2019', '29 novembre 2019 au 2 décembre 2019']",13 251 238,11 776 422,"3,3","3,1",67544
King Arthur: Legend Of The Sword,17 mai 2017,"Action, Aventure, Fantastique",2h 06min,Guy Ritchie,"Joby Harold, Guy Ritchie","Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law",None,U.S.A.,Warner Bros. France,Box Office France,"['17 au 24 mai 2017', '24 au 31 mai 2017']",362 905,174 620,"2,7","3,3",660290
Astérix et Obélix : L'Empire du milieu,1 février 2023,"Aventure, Comédie",1h 52min,Guillaume Canet,"Guillaume Canet, Julien Hervé","Guillaume Canet, Gilles Lellouche, Marion Cotillard",à partir de 8 ans (children's film),France,Pathé,Box Office France,"['01 au 8 février 2023', '08 au 15 février 2023']",1 882 686,1 009 899,"2,4","1,8",413659
Reste un peu,16 novembre 2022,Comédie,1h 33min,Gad Elmaleh,"Gad Elmaleh, Benjamin Charbit","Gad Elmaleh, Régine Elmaleh, David Elmaleh",None,France,StudioCanal,Box Office France,"['16 au 23 novembre 2022', '23 au 30 novembre 2022']",152 695,113 050,"3,7","3,3",203283
Moka,17 août 2016,Drame,1h 30min,Frédéric Mermoud,"Frédéric Mermoud, Antonin Martin-Hilbert","Emmanuelle Devos, Nathalie Baye, David Clavel",None,France,Pyramide Distribution,Box Office France,"['17 au 24 août 2016', '24 au 31 août 2016']",85 331,55 822,"3,2","3,0",312926
