title,release_date,genre,duration,director,producers,cast,press_eval,viewers_eval,age_limit,nationality,distributor,views,box_office_title,box_office_date,box_office_first_week,box_office_second_week
The Savages,20 février 2008,"['Drame', 'Comédie dramatique']",1h 53min,Tamara Jenkins,['Tamara Jenkins'],"['Laura Linney', 'Philip Seymour Hoffman', 'Philip Bosco']","3,4","2,9",,U.S.A.,Twentieth Century Fox France,27963,['Box Office US'],"['28 au 31 décembre 2007', '04 au 7 janvier 2008']",522 952,457 343
i,14 janvier 2015,"['Drame', 'Fantastique', 'Romance']",3h 08min,S. Shankar,['S. Shankar'],"['Chiyaan Vikram', 'Amy Jackson', 'Upen Patel']","3,9",--,,Inde,3 097 entrées,,['Box Office France'],['28 janvier au 4 février 2015'],3 097,
Vivre !,7 octobre 2009,['Comédie dramatique'],1h 43min,Yvon Marciano,['Yvon Marciano'],"['Aymeric Cormerais', 'Jean-Jacques Le Vessier', 'Gaël Tanniou']","1,9","2,2",,France,Colifilms Diffusion,38803,['Box Office France'],"['07 au 14 octobre 2009', '14 au 21 octobre 2009']",3 012,352
Le Grand Tout,16 septembre 2015,['Science fiction'],2h 10min,Nicolas Bazz,"['Yann Bazz', 'Nicolas Bazz']","['Jauris Casanova', 'Hélène Seuzaret', 'Benjamin Boyer']","3,6",--,,France,Ombres production,46586,['Box Office France'],"['16 au 23 septembre 2015', '23 au 30 septembre 2015']",191,110
Happî awâ,9 mai 2018,"['Drame', 'Romance']",1h 25min,Ryūsuke Hamaguchi,"['Ryūsuke Hamaguchi', 'Tadashi Nohara']","['Sachie Tanaka', 'Hazuki Kikuchi', 'Maiko Mihara']","4,0","3,7",,Japon,Art House,299210,['Box Office France'],"['09 au 16 mai 2018', '16 au 23 mai 2018']",14 716,8 641
Tous les Chats sont gris,15 juin 2016,['Drame'],1h 27min,Savina Dellicour,"['Savina Dellicour', 'Matthieu de Braconier']","['Bouli Lanners', 'Manon Capelle', 'Anne Coesens']","2,7","3,2",,Belgique,Zootrope Films,20399,['Box Office France'],"['08 au 15 juin 2016', '15 au 22 juin 2016']",451,5 651
Corpo Elétrico,16 mai 2018,"['Drame', 'Romance']",1h 34min,Marcelo Caetano,"['Marcelo Caetano', 'Gabriel Domingues']","['Kelner Macêdo', 'Lucas Andrade', 'Welket Bungué']","3,1","2,6",,Brésil,Optimale Distribution,10569,['Box Office France'],"['16 au 23 mai 2018', '23 au 30 mai 2018']",1 042,455
Mita Tova,3 juin 2015,"['Comédie', 'Drame']",1h 33min,Sharon Maymon,"['Tal Granit', 'Sharon Maymon', 'Tal Granit']","[""Ze'ev Revach"", 'Levana Finkelstein', 'Aliza Rosen']","3,7","3,8",,Allemagne,Eurozoom,26492,['Box Office France'],"['03 au 10 juin 2015', '10 au 17 juin 2015']",5 043,2 515
Standing Ovation,,['Comédie musicale'],1h 48min,Stewart Raffill,['Stewart Raffill'],"['Al Sapienza', 'Mario Macaluso', 'Jeana Zettler']","2,8",--,,U.S.A.,,6586,['Box Office US'],['16 au 19 juillet 2010'],343 125,
Comme un homme,15 août 2012,['Drame'],1h 35min,Safy Nebbou,"['Safy Nebbou', 'Gilles Taurand']","['Emile Berling', 'Charles Berling', 'Sarah Stern']","2,9","2,1","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Diaphana Distribution,399959,['Box Office France'],"['15 au 22 août 2012', '22 au 29 août 2012']",21 662,5 602
