title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,year
joker,2019-10-09,Drame,120,Todd Phillips,"Todd Phillips, Scott Silver","Joaquin Phoenix, Robert De Niro, Zazie Beetz",U.S.A.,Warner Bros. France,1576425,4.1,4.4,1095425.0,55000000.0,21.48,15.48,17.58,17.32,16.02,Autumn,2019
kurak günler,2023-04-26,"Drame, Thriller",120,Emin Alper,Emin Alper,"Selahattin Paşalı, Ekin Koç, Erol Babaoğlu",Turquie,Memento Distribution,45633,3.7,3.9,133500.0,0.0,14.48,11.15,15.9,14.83,13.54,Spring,2023
un homme idéal,2015-03-18,Thriller,60,Yann Gozlan,"Yann Gozlan, Guillaume Lemans","Pierre Niney, Ana Girardot, André Marcon",France,Mars Films,337525,3.2,3.8,872504.0,0.0,8.99,4.93,10.38,10.59,7.03,Spring,2015
la chambre des merveilles,2023-03-15,Comédie dramatique,60,Lisa Azuelos,"Fabien Suarez, Juliette Sales","Alexandra Lamy, Muriel Robin, Hugo Questel",France,SND,298308,3.5,3.9,214620.0,0.0,11.33,10.05,12.91,11.87,10.8,Spring,2023
a noiva,2023-06-28,Drame,60,Sérgio Tréfaut,Sérgio Tréfaut,"Joana Bernardo, Hugo Bentes, Lola Dueñas",Portugal,Alfama Films,298,2.9,2.1,2746.0,0.0,21.36,17.9,21.61,20.88,20.43,Summer,2023
insidious,2011-06-15,Epouvante-horreur,60,James Wan,Leigh Whannell,"Patrick Wilson, Rose Byrne, Ty Simpkins",U.S.A.,Wild Bunch Distribution,193688,3.2,3.5,2472418.0,1500000.0,18.44,16.68,16.44,18.58,16.48,Summer,2011
sage-homme,2023-03-15,Comédie dramatique,60,Jennifer Devoldere,"Jennifer Devoldere, Cécile Sellam","Karin Viard, Melvin Boomer, Steve Tientcheu",France,Warner Bros. France,279606,3.6,4.0,96517.0,5180000.0,11.33,10.05,12.91,11.87,10.8,Spring,2023
scream vi,2023-03-08,Epouvante-horreur,120,Matt Bettinelli-Olpin,"Tyler Gillett, James Vanderbilt, Guy Busick","Melissa Barrera, Jenna Ortega, Courteney Cox",U.S.A.,Paramount Pictures France,464821,2.4,3.1,307849.0,35000000.0,10.44,6.41,12.82,10.73,12.23,Spring,2023
goutte d'or,2023-03-01,Drame,60,Clément Cogitore,Clément Cogitore,"Karim Leklou, Jawad Outouia, Elyes Dkhissi",France,Diaphana Distribution,27639,3.8,3.2,113381.0,0.0,4.54,3.35,4.17,2.44,3.75,Spring,2023
everything everywhere all at once,2022-08-31,"Action, Comédie, Drame, Science fiction, Arts Martiaux",120,Daniel Scheinert,"Daniel Kwan, Daniel Scheinert, Daniel Kwan","Michelle Yeoh, Ke Huy Quan, Jamie Lee Curtis",U.S.A.,Pathé Live,132121,3.9,3.5,310040.0,25000000.0,24.21,19.06,21.64,23.97,21.39,Summer,2022
little women,2020-01-01,"Romance, Drame",120,Greta Gerwig,Greta Gerwig,"Saoirse Ronan, Emma Watson, Florence Pugh",U.S.A.,Sony Pictures Releasing France,242663,3.7,3.8,683153.0,40000000.0,4.99,5.32,7.15,4.53,6.97,Winter,2020
joyland,2022-12-28,"Drame, Romance",120,Saim Sadiq,Saim Sadiq,"Ali Junejo, Alina Khan, Sania Saeed",Pakistan,Condor Distribution,32996,3.9,4.1,97167.0,0.0,19.01,9.8,12.42,9.95,10.89,Winter,2022
derb,2023-05-24,Drame,60,Hadi Mohaghegh,Hadi Mohaghegh,"Hadi Mohaghegh, Mohammad Eghbali",Iran,Bodega Films,8528,4.0,3.6,9815.0,0.0,18.3,14.93,21.01,18.26,16.28,Spring,2023
attention au départ !,2021-08-18,Comédie,60,Benjamin Euvrard,"Benjamin Euvrard, Charly De Witte","André Dussollier, Jérôme Commandeur, Jonathan Lambert",France,SND,102498,3.0,2.3,137289.0,0.0,22.03,17.32,19.54,20.89,19.38,Summer,2021
mission: impossible - ghost protocol,2011-12-14,"Action, Espionnage, Thriller",120,Brad Bird,"Josh Appelbaum, André Nemec","Tom Cruise, Jeremy Renner, Simon Pegg",U.S.A.,Paramount Pictures France,827046,3.9,3.8,3058802.0,145000000.0,14.42,4.47,8.29,4.36,4.97,Winter,2011
la nuit du 12,2022-07-13,"Thriller, Policier",60,Dominik Moll,"Dominik Moll, Gilles Marchand","Bastien Bouillon, Bouli Lanners, Théo Cholbi",France,Haut et Court,96667,4.4,4.1,283299.0,0.0,26.65,22.47,28.83,25.21,28.75,Summer,2022
un homme heureux,2023-02-15,Comédie,60,Tristan Séguéla,"Guy Laurent, Isabelle Lazard","Fabrice Luchini, Catherine Frot, Philippe Katerine",France,Gaumont Distribution,233008,3.1,2.9,86880.0,0.0,8.3,7.73,9.41,8.59,8.79,Winter,2023
beau is afraid,2023-04-26,"Comédie, Aventure, Drame",120,Ari Aster,Ari Aster,"Joaquin Phoenix, Nathan Lane, Amy Ryan",U.S.A.,ARP Sélection,35019,3.6,3.3,146637.0,35000000.0,14.48,11.15,15.9,14.83,13.54,Spring,2023
dune,2021-09-15,"Science fiction, Drame",120,Denis Villeneuve,"Jon Spaihts, Denis Villeneuve","Timothée Chalamet, Rebecca Ferguson, Oscar Isaac",U.S.A.,Warner Bros. France,1030687,4.0,4.3,590004.0,165000000.0,21.54,16.66,18.78,17.91,17.33,Autumn,2021
ouistreham,2022-01-12,Drame,60,Emmanuel Carrère,"Emmanuel Carrère, Hélène Devynck","Juliette Binoche, Hélène Lambert, Léa Carne",France,Memento Distribution,126975,3.5,4.0,228201.0,0.0,1.36,2.64,1.42,-0.97,1.73,Winter,2022
apaches,2023-03-29,"Drame, Historique, Policier",60,Romain Quirot,Romain Quirot,"Alice Isaaz, Niels Schneider, Rod Paradot",Belgique,Tandem,33659,2.8,2.9,117557.0,0.0,11.63,9.31,13.95,12.14,9.74,Spring,2023
dungeons & dragons: honor among thieves,2023-04-12,"Fantastique, Aventure",120,Jonathan Goldstein (XII),"John Francis Daley, Jonathan Goldstein (XII), John Francis Daley","Chris Pine, Michelle Rodriguez, Regé-Jean Page",U.S.A.,Paramount Pictures France,420168,3.3,3.8,98041.0,151000000.0,11.13,8.03,12.42,10.19,9.99,Spring,2023
la dernière reine,2023-04-19,"Historique, Drame",60,Damien Ounouri,"Adila Bendimerad, Damien Ounouri, Adila Bendimerad","Adila Bendimerad, Dali Benssalah, Mohamed Tahar Zaoui",Algérie,Jour2fête,21049,3.8,4.1,123893.0,0.0,12.87,9.7,14.52,13.36,10.79,Spring,2023
