,genre,duration,nationality,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency
2382,"Drame, Biopic",126,Russie,52936,4.4,4.0,319039.0,0.0,16.82,8.54,9.35,8.68,8.53,Winter,False,0.0,0.0,0,47.5
2383,"Historique, Drame, Biopic",119,Grande-Bretagne,50726,2.2,2.8,208955.0,0.0,10.3,7.55,11.28,11.08,8.57,Spring,False,0.33,0.0,0,243.0
2384,Drame,119,France,70092,3.3,3.7,143550.0,0.0,7.25,5.55,7.16,7.85,4.69,Spring,False,0.0,0.0,0,129.0
2385,Drame,112,France,170924,4.0,3.6,834921.0,0.0,18.38,12.3,12.69,13.35,10.54,Autumn,True,0.0,0.0,0,127.0
2386,Comédie,82,France,81523,2.6,1.5,319783.0,0.0,9.09,7.91,10.06,8.27,8.22,Spring,False,0.67,0.0,0,79.0
2387,"Comédie, Romance",98,U.S.A.,369909,3.9,3.6,812829.0,16800000.0,18.5,11.68,13.25,11.54,13.05,Autumn,True,0.67,1.0,1,8.0
2388,Action,109,U.S.A.,145073,2.4,2.8,349266.0,30000000.0,14.64,11.67,14.51,13.85,14.17,Spring,False,0.33,0.0,0,107.0
2389,"Western, Drame",93,Danemark,53487,3.0,3.6,450565.0,10500000.0,21.85,17.03,19.88,18.74,18.6,Summer,True,1.0,0.0,0,2.0
2390,"Animation, Famille, Musical, Aventure",65,Espagne,5740,2.8,2.7,6095.0,0.0,11.13,8.32,12.74,11.92,10.68,Spring,False,0.0,0.0,0,83.0
2391,"Thriller, Drame",104,Japon,27767,3.6,2.7,332300.0,0.0,27.13,26.75,25.47,24.46,26.97,Summer,True,0.0,0.0,0,23.0
2392,Comédie,88,France,138925,3.1,3.4,400713.0,0.0,18.99,16.27,17.31,18.67,18.69,Summer,False,0.0,0.0,0,150.0
2393,"Animation, Famille",92,Corée du Sud,41044,2.9,1.9,216000.0,0.0,24.42,21.63,23.0,23.61,22.88,Summer,True,0.33,0.0,0,116.0
2394,Drame,105,France,80237,3.3,3.5,576819.0,0.0,2.07,3.58,3.83,-0.51,2.44,Winter,False,0.0,0.0,0,161.0
2395,Drame,98,France,108116,3.5,4.1,421917.0,0.0,23.3,17.83,22.19,21.77,19.71,Summer,True,0.0,0.0,0,207.0
2396,"Fantastique, Aventure, Comédie",105,U.S.A.,310673,2.4,2.4,2309524.0,0.0,9.76,6.35,10.2,8.4,8.84,Spring,True,0.33,0.0,0,258.0
2397,"Drame, Thriller",100,U.S.A.,170969,1.9,2.7,1287738.0,42000000.0,16.76,17.58,16.63,15.45,18.14,Spring,True,0.33,0.0,0,184.0
2398,"Epouvante-horreur, Thriller",90,Grande-Bretagne,90482,3.1,3.4,207172.0,0.0,18.74,16.5,17.34,19.06,18.78,Spring,False,0.0,0.0,0,134.0
2399,"Animation, Drame, Romance",98,Japon,10060,3.6,4.1,15030.0,0.0,21.59,17.69,21.26,23.35,21.63,Summer,False,0.0,0.0,0,83.0
2400,"Drame, Historique",132,Espagne,6597,2.9,1.5,174213.0,0.0,19.35,14.65,15.29,15.66,15.15,Autumn,False,0.0,0.0,0,74.0
2401,Comédie,82,France,108449,2.4,1.8,320165.0,0.0,9.22,9.59,9.56,8.93,10.03,Winter,True,0.0,0.0,0,139.0
2402,"Judiciaire, Drame, Thriller",123,Allemagne,21272,3.0,4.1,196473.0,0.0,14.03,13.35,14.83,13.08,11.91,Spring,True,0.0,0.0,0,116.0
2403,Comédie,110,France,526445,2.2,2.7,5336559.0,0.0,14.24,7.23,7.44,4.88,8.64,Autumn,False,0.0,0.0,0,184.0
2404,Drame,108,Autriche,1543,3.4,3.5,189081.0,0.0,5.42,3.39,5.06,5.77,1.86,Spring,True,0.0,0.0,0,66.0
2405,Comédie dramatique,98,France,142751,2.0,2.3,661068.0,0.0,16.57,14.06,15.74,16.81,14.25,Spring,False,0.0,0.0,0,156.0
2406,Epouvante-horreur,90,U.S.A.,105852,1.9,1.9,169326.0,5000000.0,20.58,17.63,17.34,15.62,14.32,Autumn,False,0.0,0.0,0,258.0
2407,"Thriller, Fantastique, Epouvante-horreur",94,U.S.A.,75109,1.8,1.8,141271.0,12000000.0,19.56,16.04,20.5,20.39,18.87,Summer,False,0.33,0.0,0,243.0
