title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,season
away we go,2009-11-04,"Comédie, Drame, Romance",98,Sam Mendes,"Dave Eggers, Vendela Vida","John Krasinski, Maya Rudolph, Jeff Daniels",U.S.A.,Mars Films,107 127,"3,5","3,5",287779,17000000.0,Autumn
galveston,2018-10-10,Policier,93,Mélanie Laurent,Jim Hammet,"Ben Foster, Elle Fanning, Lili Reinhart",U.S.A.,"The Jokers , Les Bookmakers",15 958,"3,0","3,1",361653,0.0,Autumn
né quelque part,2013-06-19,Comédie dramatique,87,Mohamed Hamidi,"Alain-Michel Blanc, Mohamed Hamidi","Tewfik Jallab, Jamel Debbouze, Fatsah Bouyahmed",France,Mars Films,150 067,"3,4","3,4",616655,0.0,Summer
flickan som lekte med elden,2010-06-30,"Policier, Thriller",129,Daniel Alfredson,Jonas Frykberg,"Michael Nyqvist, Noomi Rapace, Lena Endre",Suède,UGC Distribution,115 493,"3,1","3,6",422671,4422952.0,Summer
eight legged freaks,2002-07-31,"Comédie, Epouvante-horreur, Action",98,Ellory Elkayem,"Ellory Elkayem, Randy Kornfield","David Arquette, Kari Wuhrer, Scott Terra",Australie,Warner Bros. France,181 637,"3,7","2,0",134822,30000000.0,Summer
land,2021-06-16,Drame,84,Robin Wright,"Jesse Chatham, Erin Dignam","Robin Wright, Demian Bichir, Sarah Dawn Pledge",U.S.A.,Universal Pictures International France,40,"3,3",--,25849,0.0,Summer
shaun the sheep movie,2015-04-01,"Animation, Aventure, Comédie, Famille",85,Richard Starzak,"Mark Burton (IV), Richard Starzak, Mark Burton (IV)","Justin Fletcher, John B. Sparkes, Omid Djalili",Grande-Bretagne,StudioCanal,314 419,"4,3","4,0",924285,25000000.0,Spring
gauguin - voyage de tahiti,2017-09-20,"Drame, Biopic, Historique",101,Edouard Deluc,"Edouard Deluc, Etienne Comar","Vincent Cassel, Tuheï Adams, Malik Zidi",France,StudioCanal,84 248,"3,0","2,3",322577,0.0,Autumn
all the pretty horses,2001-06-06,Comédie dramatique,116,Billy Bob Thornton,Ted Tally,"Matt Damon, Penélope Cruz, Henry Thomas",U.S.A.,Columbia TriStar Films,28 139,"2,5","2,8",21131,57000000.0,Summer
di renjie zhi tongtian diguo,2011-04-20,"Action, Thriller",123,Tsui Hark,Chia-Lu Chang,"Andy Lau, Carina Lau, Bingbing Li",Chine,"Wild Side Films , Le Pacte",113 967,"4,1","3,2",601794,13000000.0,Spring
captain corelli's mandolin,2001-06-20,"Guerre, Romance, Drame",129,John Madden,Shawn Slovo,"Nicolas Cage, Penélope Cruz, John Hurt",France,Mars Distribution,71 152,"2,5","2,6",20004,57000000.0,Summer
mistress america,2016-01-06,Comédie,84,Noah Baumbach,"Noah Baumbach, Greta Gerwig","Greta Gerwig, Lola Kirke, Matthew Shear",U.S.A.,Twentieth Century Fox France,18 595,"3,1","2,7",280131,0.0,Winter
 cats & dogs,2001-08-15,"Comédie, Famille, Aventure",87,Lawrence Guterman,"John Requa, Glenn Ficarra","Jeff Goldblum, Tobey Maguire, Elizabeth Perkins",U.S.A.,Warner Bros. France,304 882,"2,8","2,0",24580,86000000.0,Summer
nelyubov,2017-09-20,Drame,127,Andrey Zvyagintsev,"Andrey Zvyagintsev, Oleg Negin","Maryana Spivak, Alexey Rozin, Matvey Novikov",Russie,Pyramide Distribution,68 330,"4,0","3,9",385289,0.0,Autumn
l'ex de ma vie,2014-06-25,Comédie,80,Dorothée Sebbagh,"Fanny Chesnel, Dorothée Sebbagh","Géraldine Nakache, Kim Rossi Stuart, Pascal Demolon",France,UGC Distribution,119 677,"2,5","1,5",697233,0.0,Summer
15 août,2001-04-18,Comédie,92,Patrick Alessandrin,Lisa Azuelos,"Richard Berry, Charles Berling, Jean-Pierre Darroussin",France,EuropaCorp Distribution,344 277,"3,0","2,1",24774,0.0,Spring
resident evil: the final chapter,2017-01-25,"Action, Epouvante-horreur",107,Paul W.S. Anderson,Paul W.S. Anderson,"Milla Jovovich, Ali Larter, Iain Glen",U.S.A.,Metropolitan FilmExport,174 825,"2,2","2,2",4243417,40000000.0,Winter
main dans la main,2012-12-19,Comédie dramatique,85,Valérie Donzelli,"Valérie Donzelli, Jérémie Elkaïm","Valérie Lemercier, Jérémie Elkaïm, Béatrice de Staël",France,Wild Bunch Distribution,103 165,"3,0","2,4",965084,0.0,Winter
love & mercy,2015-07-01,"Biopic, Musical, Drame",122,Bill Pohlad,"Oren Moverman, Michael Alan Lerner","Paul Dano, John Cusack, Elizabeth Banks",U.S.A.,ARP Sélection,40 730,"3,8","3,9",257042,0.0,Summer
the smell of us,2015-01-14,Drame,88,Larry Clark,"Mathieu Landais, Larry Clark","Lukas Ionesco, Diane Rouxel, Théo Cholbi",France,Jour2fête,13 460,"3,2","2,2",393479,0.0,Winter
the man with the iron fists,2013-01-02,"Action, Aventure",96,RZA,"Eli Roth,  RZA"," RZA, Russell Crowe, Lucy Liu",U.S.A.,Universal Pictures International France,21 552,"2,6","2,3",295958,15000000.0,Winter
21 nuits avec pattie,2015-11-25,Comédie,115,Arnaud Larrieu,"Jean-Marie Larrieu, Jean-Marie Larrieu, Arnaud Larrieu","Isabelle Carré, Karin Viard, André Dussollier",France,Pyramide Distribution,157 914,"4,1","2,8",311146,0.0,Autumn
respiro,2003-01-01,Drame,90,Emanuele Crialese,Emanuele Crialese,"Valeria Golino, Vincenzo Amato, Veronica D'Agostino",Italie,Pan Européenne Edition,77 204,"3,9","3,4",23341,0.0,Winter
miss you already,2016-06-15,Comédie dramatique,112,Catherine Hardwicke,Morwenna Banks,"Drew Barrymore, Toni Collette, Paddy Considine",Grande-Bretagne,Océan Films,43 102,"2,8","3,9",185764,0.0,Summer
l'homme qu'on aimait trop,2014-07-16,Drame,116,André Téchiné,"André Téchiné, Cédric Anger","Guillaume Canet, Catherine Deneuve, Adèle Haenel",France,Mars Films,144 601,"3,1","3,0",542403,0.0,Summer
la nouvelle vie de paul sneijder,2016-06-08,"Comédie, Drame",114,Thomas Vincent,"Yaël Cojot-Goldberg, Thomas Vincent","Thierry Lhermitte, Géraldine Pailhas, Pierre Curzi",Canada,SND,61 902,"3,7","3,5",812269,0.0,Summer
danse avec lui,2007-02-21,Drame,118,Valérie Guignabodet,Valérie Guignabodet,"Mathilde Seigner, Sami Frey, Jean-François Pignon",France,Wild Bunch Distribution,361 071,"3,1","2,7",366109,0.0,Winter
les brigades du tigre,2006-04-12,Policier,125,Jérôme Cornuau,"Xavier Dorison, Fabien Nury","Clovis Cornillac, Diane Kruger, Edouard Baer",France,TFM Distribution,407 863,"3,3","2,4",171731,0.0,Spring
pozitia copilului,2014-01-15,Drame,112,Calin Peter Netzer,"Razvan Radulescu, Calin Peter Netzer","Luminita Gheorghiu, Bogdan Dumitrache, Ilinca Goia",Roumanie,Dulac Distribution,17 303,"3,5","2,7",145994,1104000.0,Winter
short term 12,2014-04-23,Drame,101,Destin Daniel Cretton,Destin Daniel Cretton,"Brie Larson, John Gallagher Jr., Stephanie Beatriz",U.S.A.,Condor Distribution,27 143,"4,0","4,1",329869,1000000.0,Spring
d'amour et d'eau fraîche,2010-08-18,Drame,90,Isabelle Czajka,Isabelle Czajka,"Pio Marmaï, Anaïs Demoustier, Laurent Poitrenaux",France,Bac Films,20 326,"3,3","2,8",228265,0.0,Summer
adopte un veuf,2016-04-20,Comédie,97,François Desagnat,"Jérôme Corcos, Catherine Diament","André Dussollier, Bérengère Krief, Arnaud Ducret",France,SND,419 040,"2,9","3,6",941509,0.0,Spring
possessions,2012-03-07,"Drame, Thriller",98,Eric Guirado,"Isabelle Claris, Eric Guirado","Jérémie Renier, Julie Depardieu, Lucien Jean-Baptiste",France,UGC Distribution,55 148,"3,1","3,0",890414,0.0,Spring
dédales,2003-09-10,"Policier, Drame, Thriller",100,René Manzor,René Manzor,"Sylvie Testud, Lambert Wilson, Frédéric Diefenthal",France,CTV International,76 753,"2,4","3,1",26268,0.0,Autumn
les sans-dents,2022-04-20,Comédie,85,Pascal Rabaté,Pascal Rabaté,"Yolande Moreau, Gustave Kervern, François Morel",France,Jour2fête,8 798,"1,8","1,6",75909,0.0,Spring
playlist,2021-06-02,Comédie,88,Nine Antico,"Nine Antico, Marc Syrigas","Sara Forestier, Laetitia Dosch, Pierre Lottin",France,KMBO,16 168,"3,5","2,6",187603,0.0,Summer
the spongebob movie: sponge out of water,2015-02-18,"Animation, Aventure, Comédie, Famille",93,Paul Tibbitt,"Mike Mitchell (V), Jonathan Aibel, Glenn Berger","Tom Kenny, Bill Fagerbakke, Clancy Brown",U.S.A.,Paramount Pictures France,582 073,"2,8","2,0",812547,74000000.0,Winter
pièce montée,2010-03-10,"Comédie, Romance",93,Denys Granier-Deferre,"Denys Granier-Deferre, Jérôme Soubeyrand","Clémence Poésy, Jérémie Renier, Jean-Pierre Marielle",France,Diaphana Films,201 213,"2,8","2,2",437986,0.0,Spring
the x-files: i want to believe,2008-07-30,"Science fiction, Policier, Thriller",104,Chris Carter,"Frank Spotnitz, Chris Carter","David Duchovny, Gillian Anderson, Amanda Peet",U.S.A.,Twentieth Century Fox France,226 630,"2,4","2,0",253425,30000000.0,Summer
cold blood legacy,2019-05-15,"Action, Thriller",91,Frédéric Petitjean,Frédéric Petitjean,"Jean Reno, Sarah Lind, Joe Anderson",France,Paramount Pictures France,77 596,"2,8","1,7",292744,2700000.0,Spring
"definitely, maybe",2008-06-25,"Comédie, Romance",112,Adam Brooks,Adam Brooks,"Ryan Reynolds, Abigail Breslin, Isla Fisher",U.S.A.,Mars Films,50 836,"3,0","3,4",150503,0.0,Summer
la virgen de agosto,2020-08-05,Drame,129,Jonás Trueba,"Jonás Trueba, Itsaso Arana","Itsaso Arana, Vito Sanz, Isabelle Stoffel",Espagne,Arizona Distribution,13 362,"4,1","3,6",123944,0.0,Summer
fourmi,2019-09-04,"Comédie dramatique, Drame, Comédie",107,Julien Rappeneau,Julien Rappeneau,"François Damiens, Maleaume Paquin, André Dussollier",France,Mars Films,64 216,"3,1","3,4",436441,0.0,Autumn
the stepfather,2009-12-09,Thriller,101,Nelson McCormick,"J.S. Cardone, Carolyn Lefcourt","Dylan Walsh, Penn Badgley, Sela Ward",U.S.A.,Sony Pictures Releasing France,16 844,"1,5","2,4",97458,20000000.0,Winter
40 days and 40 nights,2002-07-10,Comédie,96,Michael Lehmann,"Robert Perez, Rob Perez","Josh Hartnett, Shannyn Sossamon, Paulo Costanzo",France,United International Pictures (UIP),357 007,"2,2","2,0",84577,17000000.0,Summer
lobo e cão,2023-04-12,Drame,111,Claudia Varejão,Claudia Varejão,"Ana Cabral, Ruben Pimenta, Cristiana Branquinho",Portugal,Epicentre Films,974,"3,8","3,5",3065,0.0,Spring
le grand meaulnes,2006-10-04,Drame,100,Jean-Daniel Verhaeghe,"Jean Cosmos, Jean-Daniel Verhaeghe","Nicolas Duvauchelle, Jean-Baptiste Maunier, Clémence Poésy",France,TFM Distribution,200 979,"2,4","1,7",234776,0.0,Autumn
four brothers,2005-10-05,"Thriller, Drame",115,John Singleton,"David Elliot, Paul Lovett","Mark Wahlberg, Tyrese Gibson, André Benjamin",U.S.A.,United International Pictures (UIP),118 305,"3,0","3,2",86058,45000000.0,Autumn
proof of life,2001-04-04,"Action, Thriller, Drame",135,Taylor Hackford,Tony Gilroy,"Meg Ryan, Russell Crowe, David Morse",U.S.A.,Pathé,75 740,"2,7","2,5",21354,65000000.0,Spring
maggie,2015-05-27,"Drame, Epouvante-horreur, Thriller",97,Henry Hobson,John Scott III,"Arnold Schwarzenegger, Abigail Breslin, Joely Richardson",U.S.A.,Metropolitan FilmExport,58 111,"3,0","2,3",343358,4000000.0,Spring
elles,2012-02-01,Drame,96,Malgorzata Szumowska,"Tine Byrckel, Malgorzata Szumowska","Juliette Binoche, Anaïs Demoustier, Joanna Kulig",France,Haut et Court,41 491,"2,8","2,1",906503,4000000.0,Winter
dolphin tale,2011-11-02,"Drame, Famille",112,Charles Martin Smith,"Karen Janszen, Noam Dromi","Harry Connick Jr, Ashley Judd, Nathan Gamble",U.S.A.,Warner Bros. France,78 953,"2,2","3,6",749243,37000000.0,Autumn
la llorona,2020-01-22,Drame,97,Jayro Bustamante,Jayro Bustamante,"María Mercedes Coroy, Sabrina de La Hoz, Margarita Kénefic",Autres,ARP Sélection,25 688,"3,5","3,5",174639,0.0,Winter
les meilleurs amis du monde,2010-06-09,Comédie,91,Julien Rambaldi,"Julien Rambaldi, Guy Laurent","Marc Lavoine, Pierre-François Martin-Laval, Léa Drucker",France,Gaumont Distribution,218 206,"2,5","2,4",1169033,0.0,Summer
padmaavat,2018-01-25,"Drame, Historique",163,Sanjay Leela Bhansali,"Prakash Kapadia, Sanjay Leela Bhansali","Deepika Padukone, Ranveer Singh, Shahid Kapoor",Inde,Aanna Films,5 400,"4,1",--,77804,31000000.0,Winter
largo winch ii,2011-02-16,"Aventure, Action, Thriller",119,Jérôme Salle,"Jérôme Salle, Julien Rappeneau","Tomer Sisley, Sharon Stone, Ulrich Tukur",France,Wild Bunch Distribution,587 514,"3,1","2,6",1523071,21169000.0,Winter
contes de juillet,2018-07-25,Comédie dramatique,70,Guillaume Brac,Guillaume Brac,"Miléna Csergo, Lucie Grunstein, Jean Joudé",France,Les Films du Losange,3 216,"3,7","3,6",91073,0.0,Summer
la blonde aux seins nus,2010-07-21,"Comédie dramatique, Romance",100,Manuel Pradal,Manuel Pradal,"Vahina Giocante, Nicolas Duvauchelle, Steve Le Roi",France,Eurozoom,9 019,"2,2","1,9",680009,7500000.0,Summer
gnomeo and juliet,2011-02-16,"Animation, Comédie, Aventure",84,Kelly Asbury,"Steve Hamilton Shaw, Kathy Greenberg","Michael Gregorio, James McAvoy, Celia Charpentier",U.S.A.,The Walt Disney Company France,199 928,"2,7","2,7",1951671,36000000.0,Winter
 cassandra's dream,2007-10-31,"Policier, Drame",108,Woody Allen,Woody Allen,"Colin Farrell, Ewan McGregor, Tom Wilkinson",U.S.A.,TFM Distribution,196 577,"2,9","3,3",146141,0.0,Autumn
pompei,2020-08-26,Drame,90,John Shank,"Anna Falguères, John Shank, Anna Falguères","Garance Marillier, Aliocha Schneider, Vincent Rottiers",Belgique,Jour2fête,849,"2,7","2,1",96027,0.0,Summer
eastern boys,2014-04-02,Drame,128,Robin Campillo,Robin Campillo,"Olivier Rabourdin, Kirill Emelyanov, Danil Vorobyev",France,Dulac Distribution,18 285,"3,8","3,6",303019,0.0,Spring
la traversée,2012-10-31,Thriller,97,Jérôme Cornuau,"Jérôme Cornuau, Alexandra Deman","Michaël Youn, Fanny Valette, Emilie Dequenne",France,UGC Distribution,55 974,"2,1","2,7",1601312,0.0,Autumn
loin du paradis,2003-03-12,Drame,107,Todd Haynes,Todd Haynes,"Julianne Moore, Dennis Quaid, Dennis Haysbert",U.S.A.,ARP Sélection,63 022,"4,4","3,5",45794,0.0,Spring
7 ans de mariage,2003-06-25,Comédie,97,Didier Bourdon,"Dominique Coubes, Nathalie Vierne","Didier Bourdon, Catherine Frot, Jacques Weber",France,UFD,357 255,"2,9","2,3",53449,0.0,Summer
les drapeaux de papier,2019-02-13,Drame,102,Nathan Ambrosioni,Nathan Ambrosioni,"Noémie Merlant, Guillaume Gouix, Sébastien Houbani",France,Rezo Films,4 838,"3,3","3,7",35667,0.0,Winter
rush hour 3,2007-10-17,"Action, Comédie",90,Brett Ratner,"Jeff Nathanson, Ross LaManna","Jackie Chan, Chris Tucker, Max von Sydow",U.S.A.,Metropolitan FilmExport,318 681,"1,8","2,2",425012,140000000.0,Autumn
le coeur des hommes 2,2007-10-24,Comédie dramatique,115,Marc Esposito,Marc Esposito,"Bernard Campan, Gérard Darmon, Jean-Pierre Darroussin",France,Pathé,580 779,"2,5","3,0",466354,0.0,Autumn
la communion,2020-03-04,Drame,115,Jan Komasa,Mateusz Pacewicz,"Bartosz Bielenia, Eliza Rycembel, Aleksandra Konieczna",Pologne,Bodega Films,38 246,"3,8","3,6",67591,0.0,Spring
gemma bovery,2014-09-10,"Comédie, Drame",99,Anne Fontaine,"Anne Fontaine, Pascal Bonitzer","Gemma Arterton, Fabrice Luchini, Jason Flemyng",France,Gaumont Distribution,223 688,"3,4","3,3",526746,9700000.0,Autumn
une histoire banale,2014-04-09,Drame,82,Audrey Estrougo,Audrey Estrougo,"Marie Denarnaud, Marie-Sohna Condé, Oumar Diaw",France,Damned Distribution,4 089,"3,7","3,5",168409,0.0,Spring
mortdecai,2015-01-21,"Comédie, Policier",107,David Koepp,"Eric Aronson, David Koepp","Johnny Depp, Gwyneth Paltrow, Paul Bettany",U.S.A.,Metropolitan FilmExport,128 410,"2,4","2,2",323683,60000000.0,Winter
god bless america,2012-10-10,Comédie,100,Bobcat Goldthwait,Bobcat Goldthwait,"Joel Murray, Tara Lynne Barr, Melinda Page Hamilton",U.S.A.,Potemkine Films,24 155,"3,1","4,0",933497,0.0,Autumn
17 filles,2011-12-14,Comédie dramatique,87,Muriel Coulin,"Delphine Coulin, Muriel Coulin, Delphine Coulin","Louise Grinberg, Juliette Darche, Roxane Duran",France,Diaphana Distribution,30 948,"3,8","2,7",1169540,4141459.0,Winter
the hunted,2003-03-26,Policier,95,William Friedkin,"Peter Griffiths, Art Monterastelli","Tommy Lee Jones, Benicio Del Toro, Connie Nielsen",U.S.A.,CTV International,118 026,"3,4","2,5",27455,55000000.0,Spring
la chambre des officiers,2001-09-26,"Guerre, Drame",135,François Dupeyron,François Dupeyron,"Eric Caravaca, Denis Podalydès, Gregori Derangère",France,ARP Sélection,198 226,"3,7","3,5",56657,0.0,Autumn
the novice,2023-01-11,"Drame, Thriller",97,Lauren Hadaway,Lauren Hadaway,"Isabelle Fuhrman, Amy Forsyth,  Dilone",U.S.A.,Star Invest Films France,420,"3,2","3,2",74279,0.0,Winter
l'ivresse du pouvoir,2006-02-22,Comédie dramatique,110,Claude Chabrol,"Claude Chabrol, Odile Barski","Isabelle Huppert, François Berléand, Patrick Bruel",France,Pan Européenne Edition,391 001,"3,6","2,2",93098,0.0,Winter
l'aventure des marguerite,2020-07-14,"Comédie, Famille",86,Pierre Coré,"Stéphane Kazandjian, Pierre Coré","Lila Gueneau, Alice Pol, Clovis Cornillac",France,"Pathé , Orange Studio",85 675,"3,1","2,8",311031,0.0,Summer
ema,2020-09-02,"Drame, Thriller",107,Pablo Larraín,"Guillermo Calderón, Alejandro Moreno","Mariana Di Girólamo, Gael García Bernal, Paola Giannini",Chili,Potemkine Films,5 834,"3,4","3,3",106112,0.0,Autumn
paper towns,2015-08-12,"Aventure, Romance, Drame",109,Jake Schreier,"Scott Neustadter, Michael H. Weber","Nat Wolff, Cara Delevingne, Justice Smith",U.S.A.,Twentieth Century Fox France,210 483,"2,7","3,0",437406,12000000.0,Summer
hannah montana: the movie,2009-06-17,"Comédie, Comédie musicale",103,Peter Chelsom,"Dan Berendsen, Michael Poryes","Miley Cyrus, Emily Osment, Lucas Till",U.S.A.,The Walt Disney Company France,135 334,"1,8","2,4",575642,35000000.0,Summer
hitganvut yehidim,2011-05-25,Drame,116,Dover Kosashvili,"Dover Kosashvili, Reuven Hecker","Guy Adler, Oz Zehavi, Michael Aloni",Israël,Dulac Distribution,5 157,"2,8","2,3",242734,0.0,Spring
testament of youth,2015-09-23,"Drame, Historique, Biopic",130,James Kent,Juliette Towhidi,"Alicia Vikander, Kit Harington, Taron Egerton",Grande-Bretagne,Mars Films,29 139,"3,6","3,9",364642,0.0,Autumn
the water diviner,2015-04-15,"Drame, Guerre",111,Russell Crowe,"Andrew Knight, Andrew Anastasios","Russell Crowe, Olga Kurylenko, Yılmaz Erdoğan",Australie,Universal Pictures International France,56 523,"2,5","3,6",290589,22500000.0,Spring
mia et le migou,2008-12-10,Animation,91,Jacques-Rémy Girerd,"Jacques-Rémy Girerd, Antoine Lanciaux","Dany Boon, Garance Lagraa, Charlie Girerd",France,Folimage Studio,127 474,"4,1","3,6",148447,0.0,Winter
las aventuras de tadeo jones,2013-04-17,"Animation, Aventure, Comédie",91,Enrique Gato,"Javier López Barreira, Gorka Magallón","Eric Judor, Oscar Barberán, Meritxell Ané",Espagne,StudioCanal,87 908,"3,0","3,2",344695,10500000.0,Spring
the farewell,2020-01-08,"Drame, Comédie",100,Lulu Wang,Lulu Wang,"Shuzhen Zhao,  Awkwafina,  X Mayo",U.S.A.,SND,49 752,"3,3","3,4",317279,250300.0,Winter
le skylab,2011-10-05,Comédie,113,Julie Delpy,Julie Delpy,"Julie Delpy, Noémie Lvovsky, Bernadette Lafont",France,Mars Films,129 376,"3,2","2,7",1086815,0.0,Autumn
zgjoi,2022-06-01,Drame,84,Blerta Basholli,Blerta Basholli,"Yllka Gashi, Cun Lajci, Aurita Agushi",Autres,ASC Distribution,2 197,"3,4","3,7",56884,0.0,Summer
confessions of a dangerous mind,2003-06-11,"Biopic, Comédie, Thriller",113,George Clooney,Charlie Kaufman,"Sam Rockwell, Maggie Gyllenhaal, George Clooney",U.S.A.,TFM Distribution,87 945,"3,8","3,4",50381,30000000.0,Summer
totally spies! le film,2009-07-22,"Animation, Aventure, Comédie",88,Pascal Jardin (II),"Michelle Lamoreaux, Robert Lamoreaux","Andrea Baker, Adrian Truss, Fily Keita",France,Mars Films,85 666,"2,7","2,1",287705,0.0,Summer
madame irma,2006-12-06,Comédie,95,Didier Bourdon,"Yves Fajnberg, Didier Bourdon, Frédéric Petitjean","Didier Bourdon, Pascal Légitimus, Arly Jover",France,Mars Distribution,313 999,"2,0","2,2",323558,0.0,Winter
grudge match,2014-01-22,Comédie,113,Peter Segal,"Tim Kelleher, Rodney Rothman","Sylvester Stallone, Robert De Niro, Kevin Hart",U.S.A.,Warner Bros. France,98 045,"2,1","3,3",347900,40000000.0,Winter
churchill,2017-05-31,"Biopic, Drame, Guerre",105,Jonathan Teplitzky,Alex von Tunzelmann,"Brian Cox, Miranda Richardson, John Slattery",Grande-Bretagne,"Orange Studio Distribution , UGC Distribution",29 457,"2,6","3,1",259065,10000000.0,Spring
les egarés,2003-08-20,"Drame, Romance",95,André Téchiné,"Gilles Taurand, André Téchiné","Emmanuelle Béart, Gaspard Ulliel, Grégoire Leprince-Ringuet",France,Mars Distribution,182 181,"3,5","2,9",39640,0.0,Summer
the lazarus effect,2015-03-11,Epouvante-horreur,83,David Gelb,"Luke Dawson, Jeremy Slater","Mark Duplass, Olivia Wilde, Donald Glover",U.S.A.,Metropolitan FilmExport,101 092,"2,3","1,9",301516,3300000.0,Spring
la mort de louis xiv,2016-11-02,"Historique, Drame, Biopic",120,Albert Serra,"Albert Serra, Thierry Lounas","Jean-Pierre Léaud, Patrick d'Assumçao, Marc Susini",France,"Les Bookmakers , Capricci Films",18 407,"3,9","2,8",88134,0.0,Autumn
i'm not there,2007-12-05,"Comédie dramatique, Biopic, Musical",135,Todd Haynes,"Todd Haynes, Oren Moverman","Christian Bale, Cate Blanchett, Marcus Carl Franklin",U.S.A.,Diaphana Films,48 837,"3,9","3,1",136888,20000000.0,Winter
s1m0ne,2002-09-18,"Comédie, Drame",115,Andrew Niccol,Andrew Niccol,"Al Pacino, Catherine Keener, Evan Rachel Wood",U.S.A.,Metropolitan FilmExport,133 661,"3,8","2,7",18223,10000000.0,Autumn
tetro,2009-12-23,Drame,127,Francis Ford Coppola,Francis Ford Coppola,"Vincent Gallo, Alden Ehrenreich, Maribel Verdú",U.S.A.,Memento Distribution,102 108,"3,8","3,7",352074,5000000.0,Winter
toute ressemblance...,2019-11-27,Comédie dramatique,83,Michel Denisot,"Michel Denisot, Karine Angeli","Franck Dubosc, Jérôme Commandeur, Caterina Murino",France,UGC Distribution,83 401,"1,8","1,5",261214,0.0,Autumn
ironclad,2011-07-20,"Action, Aventure",121,Jonathan English,"Jonathan English, Erick Kastel","James Purefoy, Paul Giamatti, Kate Mara",U.S.A.,Metropolitan FilmExport,76 828,"2,7",--,749347,25000000.0,Summer
brick mansions,2014-04-23,"Action, Policier",91,Camille Delamarre,"Luc Besson, Bibi Naceri","Paul Walker, David Belle,  RZA",France,EuropaCorp Distribution,200 301,"3,0","2,3",816018,28000000.0,Spring
august: osage county,2014-02-26,"Comédie, Drame",121,John Wells,Tracy Letts,"Meryl Streep, Julia Roberts, Ewan McGregor",U.S.A.,Wild Bunch Distribution,230 896,"2,9","3,5",451465,25000000.0,Winter
l'echange des princesses,2017-12-27,"Historique, Drame",104,Marc Dugain,"Marc Dugain, Chantal Thomas","Lambert Wilson, Anamaria Vartolomei, Olivier Gourmet",France,Ad Vitam,123 056,"3,6","3,5",250257,0.0,Winter
selon la police,2022-02-23,"Drame, Policier",111,Frédéric Videau,Frédéric Videau,"Patrick d'Assumçao, Sofia Lesaffre, Laetitia Casta",France,Pyramide Distribution,5 704,"2,4","2,3",96041,0.0,Winter
kriegerin,2013-03-27,Drame,100,David Wnendt,David Wnendt,"Alina Levshin, Jella Haase, Gerdy Zint",Allemagne,UFO Distribution,6 039,"2,8","3,7",140573,0.0,Spring
nebenan,2021-12-29,Comédie,92,Daniel Brühl,Daniel Kehlmann,"Daniel Brühl, Peter Kurth, Rike Eckermann",Allemagne,Eurozoom,8 910,"3,2","2,9",15952,0.0,Winter
step up 2: the streets,2008-04-09,"Comédie dramatique, Musical, Romance",102,Jon M. Chu,"Toni Ann Johnson, Karen Barna","Robert Hoffman, Briana Evigan, Cassie Ventura",U.S.A.,Paramount Pictures France,206 184,"2,6","3,3",697309,23000000.0,Spring
mar adentro,2005-02-02,Drame,125,Alejandro Amenábar,"Alejandro Amenábar, Mateo Gil","Javier Bardem, Belén Rueda, Lola Dueñas",Espagne,UGC,69 322,"3,7","3,7",47585,12806000.0,Winter
monsieur n.,2003-02-12,"Historique, Aventure",120,Antoine de Caunes,"René Manzor, Antoine de Caunes","Philippe Torreton, Richard E. Grant, Jay Rodan",France,Mars Distribution,116 340,"3,2","2,8",32170,0.0,Winter
saw iv,2007-11-21,"Epouvante-horreur, Thriller",90,Darren Lynn Bousman,"Patrick Melton, Marcus Dunstan","Tobin Bell, Costas Mandylor, Scott Patterson",U.S.A.,Metropolitan FilmExport,294 553,"1,8","2,2",581393,10000000.0,Autumn
meek's cutoff,2011-06-22,Western,104,Kelly Reichardt,Jonathan Raymond,"Michelle Williams, Paul Dano, Bruce Greenwood",U.S.A.,Pretty Pictures,15 699,"4,2","2,9",200193,0.0,Summer
akher wahed fina,2018-08-22,Drame,94,Ala Eddine Slim,Ala Eddine Slim,"Jawher Soudani, Fathi Akkari, Jihed Fourti",Tunisie,Potemkine Films,850,"3,6","3,3",59055,0.0,Summer
second act,2018-12-26,"Comédie, Romance",104,Peter Segal,"Elaine Goldsmith-Thomas, Justin Zackham","Jennifer Lopez, Leah Remini, Vanessa Hudgens",U.S.A.,Metropolitan FilmExport,75 771,"2,7","2,7",135045,16000000.0,Winter
mes héros,2012-12-12,Comédie,87,Eric Besnard,Eric Besnard,"Josiane Balasko, Gérard Jugnot, Clovis Cornillac",France,Pathé,203 694,"2,4","3,0",918499,9780000.0,Winter
se jie,2008-01-16,"Guerre, Romance, Thriller",158,Ang Lee,"Ang Lee, Wang Hui-Ling","Mark Windows, Lee-Hom Wang, Anupam Kher",Taïwan,UGC Ph,92 291,"3,4","3,6",166419,15000000.0,Winter
sahara,2005-06-01,Aventure,125,Breck Eisner,"Thomas Dean Donnelly, Joshua Oppenheimer","Matthew McConaughey, Steve Zahn, Penélope Cruz",U.S.A.,SND,176 199,"3,1","2,4",141147,130000000.0,Summer
journal d’une femme de chambre,2015-04-01,Drame,95,Benoit Jacquot,"Benoit Jacquot, Hélène Zimmer","Léa Seydoux, Vincent Lindon, Clotilde Mollet",France,Mars Films,140 593,"3,7","2,4",543387,0.0,Spring
