,genre,duration,nationality,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency,genre_action,genre_animation,genre_arts martiaux,genre_aventure,genre_biopic,genre_bollywood,genre_comédie,genre_comédie dramatique,genre_comédie musicale,genre_divers,genre_drame,genre_epouvante-horreur,genre_erotique,genre_espionnage,genre_expérimental,genre_famille,genre_fantastique,genre_guerre,genre_historique,genre_judiciaire,genre_musical,genre_policier,genre_péplum,genre_romance,genre_science fiction,genre_sport event,genre_thriller,genre_western
74,"drame,romance",126,Autres,32996,3.9,4.1,97167.0,0.0,19.01,9.8,12.42,9.95,10.89,Winter,True,0.0,0.0,0,55.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75,drame,90,Iran,8528,4.0,3.6,9815.0,0.0,18.3,14.93,21.01,18.26,16.28,Spring,False,0.0,0.0,0,66.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,comédie,93,France,102498,3.0,2.3,137289.0,0.0,22.03,17.32,19.54,20.89,19.38,Summer,True,0.0,0.0,0,142.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"action,espionnage,thriller",133,U.S.A.,827046,3.9,3.8,3058802.0,145000000.0,14.42,4.47,8.29,4.36,4.97,Winter,False,0.67,0.0,0,107.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,"thriller,policier",114,France,96667,4.4,4.1,283299.0,0.0,26.65,22.47,28.83,25.21,28.75,Summer,True,0.0,0.0,0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
79,comédie,89,France,233008,3.1,2.9,86880.0,0.0,8.3,7.73,9.41,8.59,8.79,Winter,True,0.33,0.0,0,124.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,"comédie,aventure,drame",179,U.S.A.,35019,3.6,3.3,146637.0,35000000.0,14.48,11.15,15.9,14.83,13.54,Spring,True,0.33,0.0,0,116.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"science fiction,drame",156,U.S.A.,1030687,4.0,4.3,590004.0,165000000.0,21.54,16.66,18.78,17.91,17.33,Autumn,False,1.0,0.5,1,184.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82,drame,107,France,126975,3.5,4.0,228201.0,0.0,1.36,2.64,1.42,-0.97,1.73,Winter,False,0.33,0.0,0,76.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"drame,historique,policier",95,Belgique,33659,2.8,2.9,117557.0,0.0,11.63,9.31,13.95,12.14,9.74,Spring,False,0.33,0.0,0,15.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
