title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views
She Will,30 novembre 2022,Fantastique,1h 35min,Charlotte Colbert,"Kitty Percy, Charlotte Colbert","Alice Krige, Kota Eberhardt, Malcolm McDowell","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Grande-Bretagne,Alba Films,Box Office France,554,"2,8","2,1",46985
The World's End,28 août 2013,"Action, Comédie, Science fiction",1h 49min,Edgar Wright,"Simon Pegg, Edgar Wright","Simon Pegg, Nick Frost, Martin Freeman",,Grande-Bretagne,Universal Pictures International France,Box Office France,58161,"3,2","3,4",306679
Next,25 avril 2007,"Action, Science fiction, Thriller",1h 36min,Lee Tamahori,"Gary Goldman, Jonathan Hensleigh","Nicolas Cage, Julianne Moore, Jessica Biel",,U.S.A.,TFM Distribution,Box Office France,262793,"1,8","2,5",571943
Taxi,31 août 2005,"Comédie, Action, Policier",1h 37min,Tim Story,"Thomas Lennon, Luc Besson","Queen Latifah, Jimmy Fallon, Jennifer Esposito",,France,Twentieth Century Fox France,Box Office US,12029832,"2,1","1,2",89845
Jack et la mécanique du cœur,5 février 2014,"Animation, Drame, Aventure",1h 34min,Mathias Malzieu,"Stéphane Berla, Stéphane Berla, Mathias Malzieu","Mathias Malzieu, Olivia Ruiz,  Grand Corps Malade",à partir de 10 ans (children's film),France,EuropaCorp Distribution,Box Office France,195432,"3,5","3,9",693455
Star Wars: Episode II - Attack of the Clones,17 mai 2002,"Science fiction, Aventure, Fantastique",2h 22min,George Lucas,"George Lucas, Jonathan Hales","Ewan McGregor, Natalie Portman, Hayden Christensen",à partir de 8 ans (children's film),U.S.A.,UFD,Box Office France,2002398,"3,5","3,9",126760
Inséparables,4 septembre 2019,Comédie,1h 34min,Varante Soudjian,Varante Soudjian,"Ahmed Sylla, Alban Ivanov, Judith El Zein",,France,SND,Box Office France,311918,"2,5","3,2",787529
The Mummy : Tomb of the Dragon Emperor,6 août 2008,"Aventure, Fantastique",1h 51min,Rob Cohen,"Alfred Gough, Miles Millar","Brendan Fraser, Jet Li, Maria Bello",,U.S.A.,Universal Pictures International France,Box Office France,695628,"2,8","2,2",756621
Zwartboek,29 novembre 2006,"Drame, Guerre",2h 25min,Paul Verhoeven,"Gerard Soeteman, Paul Verhoeven","Carice van Houten, Sebastian Koch, Thom Hoffman",,Grande-Bretagne,Pathé,Box Office France,59797,"4,1","4,0",214267
Happy Death Day,15 novembre 2017,"Epouvante-horreur, Thriller",1h 37min,Christopher Landon,Scott Lobdell,"Jessica Rothe, Israel Broussard, Ruby Modine",Interdit aux moins de 12 ans,U.S.A.,Universal Pictures International France,Box Office France,230654,"3,3","3,3",657551
The Ninth Gate,25 août 1999,"Fantastique, Thriller",2h 12min,Roman Polanski,"John Brownjohn, Enrique Urbizu","Johnny Depp, Frank Langella, Lena Olin",,U.S.A.,Bac Films,Box Office France,101940,"3,2","3,0",66764
The Angels' Share,27 juin 2012,Comédie dramatique,1h 41min,Ken Loach,Paul Laverty,"Paul Brannigan, John Henshaw, Gary Maitland",,Grande-Bretagne,Le Pacte,Box Office France,171832,"3,5","3,9",1463339
The Life of David Gale,23 avril 2003,"Drame, Policier, Thriller",2h 10min,Alan Parker,Charles Randolph,"Matt Craven, Constance Jones, Cleo King",,U.S.A.,United International Pictures (UIP),Box Office France,194002,"2,7","4,0",122899
Pitch Perfect,8 mai 2013,"Comédie, Comédie musicale",1h 53min,Jason Moore,Kay Cannon,"Anna Kendrick, Skylar Astin, Ben Platt",,U.S.A.,Universal Pictures International France,Box Office France,71237,"2,6","3,8",524365
Le Vélo de Ghislain Lambert,31 octobre 2001,Comédie,1h 59min,Philippe Harel,"Olivier Dazat, Philippe Harel","Benoît Poelvoorde, José Garcia, Daniel Ceccaldi",,France,Bac Films,Box Office France,302661,"2,8","2,6",40095
Le Calendrier,1 décembre 2021,"Thriller, Epouvante-horreur",1h 44min,Patrick Ridremont,Patrick Ridremont,"Eugénie Derouand, Honorine Magnier, Clément Olivieri",Interdit aux moins de 12 ans,France,Alba Films,Box Office France,27119,"2,5","2,5",113380
Aus dem Nichts,17 janvier 2018,"Drame, Thriller",1h 46min,Fatih Akın,"Fatih Akın, Hark Bohm","Diane Kruger, Denis Moschitto, Numan Acar","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Allemagne,Pathé,Box Office France,127128,"2,9","3,6",278310
L'inconnu du lac,12 juin 2013,"Drame, Policier",1h 37min,Alain Guiraudie,Alain Guiraudie,"Pierre Deladonchamps, Christophe Paou, Patrick d'Assumçao",Interdit aux moins de 16 ans,France,Les Films du Losange,Box Office France,40092,"4,2","3,1",310095
House of Wax,25 mai 2005,"Epouvante-horreur, Thriller",1h 53min,Jaume Collet-Serra,"Charles Belden, Carey W. Hayes","Elisha Cuthbert, Chad Michael Murray, Paris Hilton",Interdit aux moins de 16 ans,U.S.A.,Warner Bros. France,Box Office France,140644,"3,7","2,5",368389
Hannibal Rising,7 février 2007,Thriller,1h 55min,Peter Webber,Thomas Harris,"Gaspard Ulliel, Gong Li, Rhys Ifans",Interdit aux moins de 12 ans,France,Quinta Distribution,Box Office France,321940,"2,2","2,7",572562
Bride Wars,11 février 2009,"Comédie, Romance",1h 40min,Gary Winick,"Greg Depaul, Casey Wilson","Kate Hudson, Anne Hathaway, Bryan Greenberg",,U.S.A.,Twentieth Century Fox France,Box Office France,1677,"1,9","2,2",398131
Discount,21 janvier 2015,Comédie,1h 45min,Louis-Julien Petit,"Louis-Julien Petit, Samuel Doux","Olivier Barthelemy, Corinne Masiero, Pascal Demolon",,France,Wild Bunch Distribution,Box Office France,100896,"3,6","3,4",670047
The Real Thing,18 mai 2022,"Romance, Drame",2h 04min,Kôji Fukada,"Shintaro Mitani, Kôji Fukada","Win Morisaki, Kaho Tsuchimura, Shohei Uno",,Japon,Art House,Box Office France,6917,"3,9","3,6",220968
Embrasse-moi !,5 juillet 2017,"Comédie, Romance",1h 26min,Océan,"Cyprien Vial,  Océan, Cyprien Vial"," Océan, Alice Pol, Grégory Montel",,France,Haut et Court,Box Office France,19302,"2,6","2,7",327599
Repas de famille,26 novembre 2014,Comédie,1h 30min,Pierre-Henry Salfati,"Eric Carrière, Pierre-Henry Salfati","Eric Carrière, Francis Ginibre, Noëlle Perna",,France,KapFilms,Box Office France,57217,"2,2","1,6",239729
The Voices,11 mars 2015,"Comédie, Thriller, Drame",1h 49min,Marjane Satrapi,Michael R. Perry,"Ryan Reynolds, Gemma Arterton, Anna Kendrick",Interdit aux moins de 12 ans,U.S.A.,Le Pacte,Box Office France,136124,"3,4","3,4",680737
Halal police d'Etat,16 février 2011,Comédie,1h 38min,Rachid Dhibou,"Ramzy Bedia, Eric Judor","Ramzy Bedia, Eric Judor, Jean-Pierre Lazzerini",à partir de 10 ans (children's film),France,EuropaCorp Distribution,Box Office France,403883,"2,9","1,3",2127347
Boku no Hero Academia the Movie 3: World Heroes' Mission,26 janvier 2022,"Animation, Action, Fantastique",1h 44min,Kenji Nagasaki,Yosuke Kuroda,"Bastien Bourlé, Daiki Yamashita, Emmanuel Rausenberger",à partir de 10 ans (children's film),Japon,CGR EVENTS,Box Office France,129395,"3,5","3,7",34912
Taking Woodstock,23 septembre 2009,Comédie dramatique,2h 00min,Ang Lee,James Schamus,"Emile Hirsch, Demetri Martin, Liev Schreiber",,U.S.A.,Universal Pictures International France,Box Office France,78441,"3,7","3,2",140073
 The Chronicles of Narnia: Prince Caspian,25 juin 2008,"Fantastique, Aventure",2h 23min,Andrew Adamson,"Andrew Adamson, Christopher Markus","Ben Barnes, Georgie Henley, Skandar Keynes",à partir de 8 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office France,994686,"3,5","3,1",953076
The Purge: Election Year,20 juillet 2016,"Thriller, Epouvante-horreur",1h 49min,James DeMonaco,James DeMonaco,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson",Interdit aux moins de 12 ans avec avertissement,U.S.A.,Universal Pictures International France,Box Office France,311723,"2,6","3,1",441431
